순번,이름,연식,주행거리,연료,배기량,색상,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격),보증여부,보증기간,보증거리
0,3,173,160993,2,2656,검정색,2500000,7,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,0,6,0,0,0,0
1,3,33,47512,3,2359,흰색,37900000,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,64,45269,2,2999,은색,19900000,56,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,123,136334,2,2999,검정색,8500000,21,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,67,54243,2,2999,검정색,26300000,67,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,121,221273,2,2999,검정색,6990000,21,0,0,1,1,1,1,0,1,0,1,1,5,0,0,0,0,2,0,1,0,0,0,0
6,3,28,39994,2,2497,검정색,26000000,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
7,3,71,55548,2,2999,검정색,19490000,54,0,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,60,100000
8,3,125,106369,2,2999,흰색,7290000,20,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,2,0,0,0,0
9,3,26,57717,2,2359,검정색,33500000,87,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,60,100000
10,3,29,34000,3,2359,검정색,37000000,82,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,43,53678,2,2999,검정색,15800000,45,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,3,0,1,0,1,60,100000
12,3,69,72626,1,2999,검정색,17000000,58,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
13,3,93,154391,0,2199,검정색,8000000,24,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,3,0,2,0,0,0,0
14,3,78,208439,1,2999,검정색,6500000,0,0,0,1,1,0,1,0,1,0,1,1,5,0,0,0,0,3,0,2,0,0,0,0
15,3,171,325833,2,2359,은색,2250000,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,3,37,16555,3,2359,흰색,35500000,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,60,100000
17,3,17,63568,1,2999,진회색,22200000,77,0,0,0,0,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0
18,3,64,94308,1,2999,흰색,23500000,70,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,15,11184,2,3342,흰색,31800000,88,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,60,100000
20,3,173,160993,2,2656,검정색,2500000,7,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,0,6,0,0,0,0
